Extension,Altitude,Velocity,Drag,Center_of_Pressure
30,1000,480.0,1131.534,0.6834697
30,1000,514.0,1293.936,0.6823866
30,2000,34.0,6.281824,0.7014061
30,2000,68.0,23.72773,0.6959466
30,2000,102.0,51.79468,0.6934457
30,2000,137.0,90.29166,0.6911514
30,2000,171.0,139.2915,0.6895809
30,2000,205.0,197.8331,0.6885873
30,2000,240.0,267.3702,0.6871759
30,2000,274.0,346.4806,0.6858318
30,2000,308.0,435.2795,0.6862239
30,2000,343.0,534.2427,0.6848112
30,2000,377.0,643.3201,0.6845483
30,2000,411.0,760.6445,0.6850306
30,2000,445.0,890.9719,0.6830774
30,2000,480.0,1028.955,0.6824482
30,2000,514.0,1176.786,0.6828449
30,3000,34.0,5.714366,0.7015677
30,3000,68.0,21.5584,0.6976813
30,3000,102.0,47.00084,0.6945138
30,3000,137.0,82.04499,0.6914117
30,3000,171.0,126.2064,0.6904973
30,3000,205.0,179.6875,0.6895702
30,3000,240.0,242.1029,0.6885688
30,3000,274.0,314.5055,0.6865404
30,3000,308.0,395.4964,0.685577
30,3000,343.0,484.9247,0.6854196
30,3000,377.0,583.3994,0.6852529
30,3000,411.0,691.0392,0.6845133
30,3000,445.0,807.2689,0.6845949
30,3000,480.0,930.4915,0.6858519
30,3000,514.0,1064.01,0.685281
30,4000,34.0,5.190978,0.7025267
30,4000,68.0,19.57878,0.6970711
30,4000,102.0,42.66911,0.6946931
30,4000,137.0,74.27577,0.6929951
30,4000,171.0,114.39,0.6912952
30,4000,205.0,162.673,0.6900861
30,4000,240.0,218.9978,0.6893014
30,4000,274.0,284.0903,0.6882867
30,4000,308.0,358.2509,0.6857229
30,4000,343.0,439.2481,0.6858754
30,4000,377.0,528.323,0.6850684
30,4000,411.0,625.7397,0.6846938
30,4000,445.0,730.8312,0.6846029
30,4000,480.0,843.5404,0.6847533
30,4000,514.0,963.4672,0.6844583
30,5000,34.0,4.706754,0.7024731
30,5000,68.0,17.70856,0.6985934
30,5000,102.0,38.64645,0.694156
30,5000,137.0,67.27097,0.6928906
30,5000,171.0,103.463,0.690871
30,5000,205.0,147.011,0.6902072
30,5000,240.0,198.1295,0.6898057
30,5000,274.0,256.4261,0.6898272
30,5000,308.0,323.3872,0.6876348
30,5000,343.0,395.5229,0.6874108
30,5000,377.0,477.3779,0.6858214
30,5000,411.0,565.173,0.6858013
30,5000,445.0,660.2764,0.6845761
30,5000,480.0,761.7051,0.6849366
30,5000,514.0,870.0565,0.6842127
30,6000,34.0,4.257864,0.7025113
30,6000,68.0,16.00285,0.6975523
30,6000,102.0,34.8215,0.6957015
30,6000,137.0,60.65244,0.6934521
30,6000,171.0,93.3766,0.6919512
30,6000,205.0,132.649,0.6908131
30,6000,240.0,178.6636,0.6901566
30,6000,274.0,231.2354,0.6898143
30,6000,308.0,291.584,0.6873084
30,6000,343.0,356.5868,0.6877832
30,6000,377.0,430.1737,0.6865134
30,6000,411.0,509.3149,0.6858435
30,6000,445.0,594.9302,0.6851557
30,6000,480.0,686.9391,0.6849991
30,6000,514.0,785.5669,0.684443
30,7000,34.0,3.840698,0.7037255
30,7000,68.0,14.40999,0.6989084
30,7000,102.0,31.35487,0.6960229
30,7000,137.0,54.46976,0.695155
30,7000,171.0,83.77655,0.6936438
30,7000,205.0,119.3269,0.6913637
30,7000,240.0,160.4688,0.6918473
30,7000,274.0,207.7642,0.6906692
30,7000,308.0,261.1704,0.6889925
30,7000,343.0,320.573,0.6881109
30,7000,377.0,386.5178,0.6871263
30,7000,411.0,457.6731,0.6862447
30,7000,445.0,533.4952,0.6862151
30,7000,480.0,617.2679,0.68591
30,7000,514.0,705.7816,0.6850531
30,8000,34.0,3.456921,0.7042895
30,8000,68.0,12.92839,0.7011458
30,8000,102.0,28.11801,0.697257
30,8000,137.0,48.87978,0.696146
30,8000,171.0,75.20912,0.6942723
30,8000,205.0,106.6588,0.6936472
30,8000,240.0,144.0865,0.69115
30,8000,274.0,186.5007,0.6902681
30,8000,308.0,234.1526,0.689761
30,8000,343.0,287.606,0.6887336
30,8000,377.0,344.7979,0.6891937
30,8000,411.0,410.1364,0.6871339
30,8000,445.0,479.0532,0.6859208
30,8000,480.0,551.5272,0.6864459
30,8000,514.0,632.3315,0.6860924
30,9000,34.0,3.102598,0.7051954
30,9000,68.0,11.58434,0.7012159
30,9000,102.0,25.17713,0.6976813
30,9000,137.0,43.71416,0.6955128
30,9000,171.0,67.24165,0.6946018
30,9000,205.0,95.44469,0.6937714
30,9000,240.0,128.8322,0.6920137
30,9000,274.0,166.7246,0.6906658
30,9000,308.0,209.3518,0.6899214
30,9000,343.0,256.2664,0.6908787
30,9000,377.0,308.651,0.689756
30,9000,411.0,366.4364,0.6876966
30,9000,445.0,426.7148,0.6873447
30,9000,480.0,494.0683,0.6865725
30,9000,514.0,564.8466,0.6864017
30,10000,34.0,2.775965,0.7059777
30,10000,68.0,10.34165,0.7016912
30,10000,102.0,22.48285,0.6984196
30,10000,137.0,39.04219,0.6974598
30,10000,171.0,59.99825,0.6943809
30,10000,205.0,85.09537,0.6944589
30,10000,240.0,114.8763,0.6917153
30,10000,274.0,148.6058,0.6912413
30,10000,308.0,186.4791,0.6896493
30,10000,343.0,228.6738,0.6897993
30,10000,377.0,274.8129,0.6899719
30,10000,411.0,325.5902,0.6889029
30,10000,445.0,380.822,0.6877537
30,10000,480.0,438.8501,0.6870457
30,10000,514.0,501.2486,0.6879347
40,0,34.0,7.775724,0.7061201
40,0,68.0,29.4909,0.7014179
40,0,102.0,64.43084,0.6990554
40,0,137.0,112.9962,0.6970903
40,0,171.0,173.6374,0.6967118
40,0,205.0,248.2674,0.693602
40,0,240.0,334.9409,0.6929826
40,0,274.0,434.5757,0.6918418
40,0,308.0,546.9045,0.6901133
40,0,343.0,673.1499,0.6873032
40,0,377.0,807.8418,0.6889412
40,0,411.0,960.4738,0.6861183
40,0,445.0,1122.328,0.6853574
40,0,480.0,1297.308,0.6857151
40,0,514.0,1484.223,0.6861252
40,1000,34.0,7.113676,0.7058932
40,1000,68.0,26.90774,0.7011034
40,1000,102.0,58.97461,0.6994359
40,1000,137.0,102.965,0.6978405
40,1000,171.0,158.8591,0.6963197
40,1000,205.0,226.3351,0.6941685
40,1000,240.0,305.24,0.6936678
40,1000,274.0,397.3161,0.6904449
40,1000,308.0,498.1076,0.6910261
40,1000,343.0,611.7264,0.6896403
40,1000,377.0,738.8273,0.6867901
40,1000,411.0,875.2986,0.6865178
40,1000,445.0,1022.647,0.686676
40,1000,480.0,1176.136,0.6892891
40,1000,514.0,1351.797,0.6853746
40,2000,34.0,6.487948,0.705151
40,2000,68.0,24.57607,0.702444
40,2000,102.0,53.52869,0.6994935
40,2000,137.0,93.70703,0.6980001
40,2000,171.0,144.5546,0.6970178
40,2000,205.0,205.36,0.6949368
40,2000,240.0,277.7229,0.6939327
40,2000,274.0,358.2776,0.695582
40,2000,308.0,453.0781,0.6907944
40,2000,343.0,556.1447,0.690194
40,2000,377.0,669.7742,0.6899484
40,2000,411.0,793.79,0.6892617
